TypeOfRequest,RouteNumber,City,From,To,Timings,Comments,Response,Date
New Route,,Bengaluru,Ejipura (towards SRINIVAGILU),AECS (towards LAST BUS STOP),,please add a route from ejipura signal to AECS Brookefiled,,24-Jun-16
New Route,,Bengaluru,Akshya Nagara (towards KALKERE),Vydehi Hospital (towards I.T.P.L.),,There are so many individuals staying in TC Palya/Kalkere for whom office location is in Whitefield. There are no buses operating between these locations.,,25-Jun-16
Increase Frequency,79B,Bengaluru,,,,please increase the frequency between 09:00 am to 11:00 am   ,,01-Jul-16
Increase Frequency,368F,Bengaluru,,,,Please increase frequency between 11:00am to 6:00pm,,02-Jul-16
Increase Frequency,V-342F,Bengaluru,,,,The frequency of V-342F are very less at evening timings. ,,26-Jul-16
Increase Frequency,V-342F,Bengaluru,,,,The frequency of V-342F buses are very less in evening timings. ,,26-Jul-16
Increase Frequency,375,Bengaluru,,,,"All the buses in this route from kengeri to Banashakari will be full of students till Channasandra, no place to stand also.
buses wont come at time.
it would be better in morning to create trip to kengeri to channasandra so that people who wants go to Banashakari will have place to board busses.",,25-Jun-16
Increase Frequency,289,Bengaluru,,,,"Considering no of students(nearly 700+) travel from Yelhanka to BSF for Reva University No. of busses are only 4 and they too are always overloaded at peak hours thats morning 7:30-8:30, There are incidents when students have fallen from bus and also these old busses bends dangerously. Drivers often dont stop at Bagluru cross as busses are overloaded.
Please increase the frequency of busses in morning before 8 15 and evening after 3 30.  
The strength of University will increase significantly this and next year too, so additional busses to Reva would be really helpfull and safe for students. ",,25-Jun-16
New Route,,Bengaluru,Vidyaranyapura (towards null),Shivajinagar Bus Station (towards TOWARDS INDIAN EXRESS),,"Dear Sir,

This is to inform you that we have very few buses plying from vidyaranaypura to shivajinagar during peak hours. Morning we have at 7.55 am and next bus at 8.50 am which leaves early at 8.30 am itself and next bus at 9.30 am. All office commuters have to take 2 to 3 buses to reach shivajinagar which causes lot of inconvenience. Kindly provide buses at least frequency every 20 min. ",,27-Jun-16
New Route,,Bengaluru,Parangipalya (towards HSR BDA Complex),Jigani APC Cricle (towards ANEKAL),,"Sir/ madam, i request to increase the frequency of buses 340A from parangipalaya to hsr layout sector2 to majestic increase the buses at peak hours like 7am upto 10am and 1pm upto 3pm and evening 6pm upto 9pm and there is depot in HSR allow buses to ply through the layout and then link through ring road so that most of the people it will be help full as i have seen many people will be waiting including me at morning but buses are not coming at time and people catch auto upto agra for that a comman man cannot pay hefty amount daily. So its my humble request...",,24-Jun-16
Increase Frequency,34,Bengaluru,,,,from Vivekanandanagar towards north road and back during college hours (between 7. 30 - 8 am  and 1 pm to 3 pm)  ,,22-Jun-16
New Route,,Bengaluru,Byappanahalli rly gate (towards \N),Eco Space (towards JUNCTION OF SARJAPURA ROAD),,Feeder Bus services required,,27-Jun-16
New Route,,Bengaluru,Kammana Halli Circle (towards KULLAPPA CIRCLE),Electronic City (towards ATTIBELE),,"I request you to make this new route
Many people including students and officers will be benefited as the route has stops connecting Marathalli,Silk board,etc.
I myself being a student feel very difficult in travelling to college(nr Electronic city) everyday through BMTC, there has been instances when i have reached college late due to changing many buses
Hence i humbly request you to add this route as soon as possible
Thank You",,27-Jun-16
New Route,,Bengaluru,Kempegowda Bus Station (towards \N),New Horizon College (towards JUNCTION OF SARJAPURA ROAD),,There are hardly any buses in this route. Kindly add normal fare buses to this route as the number of low income earners are also more. ??? ?????????? ?? ???? ????? ???? ??? ?? ????? ??????? ??? ? ???? ?????... ?????? ??? ?????? ?? ????? ?????... ???????? ? ????????? ???? ????? ?????? ,,27-Jun-16
New Route,,Bengaluru,BANASHANKARI TTMC (towards \N),RV College (towards TOWARDS SHIRKE),,"Dear sir,
Many students from RV are finding it difficult to travel from Banashankari to RV college because of very less number of buses. There are 510 and 510A but they are very less in number. Please help us by providing more buses. Thanks!",,27-Jun-16
New Route,,Bengaluru,Bommasandra Indl Area (towards JIGANI APC CIRCLE),Jigani (towards APC Circle),,"I am working in HCL technologies . so i have to face lot of problems while up down from my office and there is no bus facility after 10 pm , so please arrange this.",,27-Jun-16
New Route,,Bengaluru,Jigani (towards BOMMASANDRA),Bommasandra Indl Area (towards JIGANI APC CIRCLE),,We have to face lot of problems as we are working in hcl technologies and there is no bus after 10 pm in this route.. please arrange some buses,,27-Jun-16
Increase Frequency,356A,Bengaluru,,,,"increase frequency in the early morning at 7am towards majestic and after 5pm from majestic, there will be more crowd especially after 5pm from majestic",,28-Jun-16
New Route,,Bengaluru,Maratahalli Bridge (towards TOWARDS HAL),Haralur  (towards KUDLU),,There is no bus at present which connects the two places,,28-Jun-16
New Route,,Bengaluru,Depot-13-BS (towards BANASHANKARI),Devanahalli (towards LAST BUS STOP),,please have volvo in this route.,,01-Jul-16
Increase Frequency,401RC,Bengaluru,,,,I humbly request you to increase the frequency of the above mentioned route during the time 7:00PM-8:00PM. Thank You,,01-Jul-16
New Route,,Bengaluru,Hope Farm (towards TOWARDS WHITEFIELD),HOSAKOTE (towards \N),,need volvo bus service,,01-Jul-16
Increase Frequency,MF-6,Bengaluru,,,,"Dear Sir/Madam,

Since yesterday am feeling heat, because not seeing running of MF-6 the only bus i can get into from Kalkere cross to Doopanahalli. Otherwise, have to get into many buses and also more time delay in reaching to office.

Am just requesting to you, after seeing many people also similarly facing the same problem like me from TC palya route. Kindly can look into and see if you could able to renew the bus (MF-6) running and also try see more no of buses as in this route more people are travelling during peak hours of office timings.

Thanking you,
yours sincerely,
srinivas.",,28-Jun-16
Increase Frequency,MF-6,Bengaluru,,,,"From Monday(27th June 2016) there is no MF6 running between TC Palya and Mangammanapalya. There are a lot of passengers travelling in this route and is very difficult for everybody if this bus is cancelled. Kindly request you introduce this bus again in the interest of all passengers and other public. Its a very convenient bus for all school going and office going people who travel between T C Palya, Indiranagar, Koramangala, Manganapalya. Hence please request the authorities to re introduce this service again.",,29-Jun-16
Increase Frequency,MF-1,Bengaluru,,,,"Please increase bthe bus frequency in this route.
Frequency is very less during peak hours. We have to wait 20 mins - 30 mins.
Thank you",,29-Jun-16
Increase Frequency,251C,Bengaluru,,,,"Hello Sir/Madam

SHivajinar to Jalahhali cross has buses - 252 A, 251 C , G8. G8 is rarely and other 2 buses are once in 15/20 mins and are very less. we see huge number of buses to market and majestic( with many buses least occupied by passenger) even after metro is running.  because of less number n less frequency, you will find huge crowd at jalahhali and also at Yeshwantpur. people for RT nagar reply on these buses. for RT nagar there is 180 from YPR bus stop and that is 1 in almost one hour. so it is very tough.

request you to please do the needful and increase frequency and buses to RT nagar and Shivajinagar.

thanks
",,29-Jun-16
New Route,,Bengaluru,Indira Nagar Double Road (towards INDIRA NAGARA),Jeevan Bheema Nagar (towards HAL),,Better to felicitate Metro feeder services from  Indiranagar Metro to Bheemanagar. In the Evenings. ,,30-Jun-16
New Route,,Bengaluru,Jayamahal (towards CONTONMENT RAILWAY STATION),Electronic City (towards MADIWAL),,"There are lot of Software Professionals who work in Infosys, Wipro and other IT Companies in Jayamahal. It would be convenient for them if there are AC buses in this route. The AC bus can pick up lot many people on the way",,29-Jun-16
Increase Frequency,365D,Bengaluru,,,,"Please increase the frequency of 365 volvo in the peak office time morning 8am-10am.There are daily Commuters from bannerghata road to offices in dairy circle,richmond circle,majestic.frequency is very poor in last few weeks..",,29-Jun-16
New Route,,Bengaluru,Jayamahal  extention (towards JAYAMAHAL),Bellanduru Gate Sarjapura Road (towards TOWARDS KORAMANGALA),,"There are many professionals who have to commute to Cessna Business Park from Jayamahal. 

Please start AC Volvo buses from Jayamahal to Cessna Business Park.",,29-Jun-16
New Route,,Bengaluru,EMC2 (towards \N),Brigade Millanium (towards PUTTENAHALLI),,Lot of executives travel to brigade during that time and we dont have direct buses ,,30-Jun-16
Increase Frequency,139A,Bengaluru,,,,"Need More connectivity Towards Jeeven bheema Nagar. Specially In the evening after 6 frequency is less.Jeevan Bheema Nagar Buses Waiting time Near KFC is more than 40 minutes.
Raiders from Indiranagar Metro Crowding too much for Jeevan Bheemanagar buses in the evening,

So kindly please increase buses frequency to Jeeven Bheemanagar to Fecilitate the Indiranagar Metro Riders in the Evenings. 

",,30-Jun-16
New Route,,Bengaluru,Varthuru (towards WHITEFIELD),Silk Board Attibele Road (towards 356W LAST POINT),,"There is no direct bus connecting important jnction, silk board from varthur/gunjur area. Lot of people travel towards silkboard/jayadeva from here.",,30-Jun-16
New Route,,Bengaluru,Nerige (towards GUNJURU),Anekal Bus Stand (towards \N),,Please arrange more buses between Nerige and Anekal.,,03-Jul-16
New Route,,Bengaluru,Jalahalli Cross (towards \N),Doddaballapura (towards YELAHANKA),,"There are number of passengers/office goers travels from Jalahalli cross Metro to Doddaballapura via MS palya and NES after introducing Namma Metro. It is requested to introduce a new route from Jalahalli cross Metro to Doddaballapura via MS palya and NES as there is no direct bus service.
",,04-Jul-16
Other,,Bengaluru,,,,Please increase frequency of bus number 60A from vijayanagar after 7:30 as so many female passengers travels in that time.. Please ,,30-Jun-16
New Route,,Bengaluru,Yelahanka Satelite Town (towards TOWARDS YELAHANKA TOWN),Maratahalli Bridge (towards TOWARDS HAL),,"There are no buses from yelahanka to anywhere towards silk board, commuters have to get down near esteem Mall /on the flyover and walk till hebbal busstop on ORR",,30-Jun-16
Increase Frequency,201A,Bengaluru,,,,"Frequency of buses in the route of 201 has to be increased. Atleast between 7:00AM-11:00AM in the morning and 3:00PM-7:00pm in the evening. Many schools such as Sacred hearts, Baldwin, St. Patricks,etc are located in proximity to this route. This will help school students and other working community, to travel comfortably.",,02-Jul-16
Increase Frequency,227VC,Bengaluru,,,,"Dear san
so many schools & college students, garments employee ate yravelling from attimger village and nearest villages people are travelling to bangalore city so we have only one bus 227va because kindly expand morning and evening trip up to attimgere village",,30-Jun-16
Increase Frequency,500,Bengaluru,,,,"Please increase normal buses frequency from Silk board to ITPL. Especially morning time, many are waiting for an hour to get a normal bus. Even though most don't prefer AC buses, there will be at least one every 10 minutes.
Please increase frequency as a bus for every 20 min",,30-Jun-16
New Route,,Bengaluru,BPL (towards TOWARDS BANNERGHATTA NATIONAL PARK),Hulimavu Gate (towards TOWARDS BANNERGHATTA NATIONAL PARK),,"kindly put bus plying from bpl stop /bata show room to yelanahalli,coming to hulimavu gate.this bus should continuously ply so that we need not depend upon autos and once we reach bannergatta road we get all types of buses ",,01-Jul-16
Increase Frequency,BC-4A,Bengaluru,,,,"please put more buses in the morning 8.30,evening 4.30",,01-Jul-16
Increase Frequency,288,Bengaluru,,,,"288 is from Thindlu to K.R.Market
288H is from Thindlu to Majestic.
please increase the frequency of this two route buses, because labour class people, people working in government/private sectors are totally depending on general transportations. God only help them if buses are missed/not come to go by heavy traffic airport road. I request the concerned to look into the matter and have survey so that what people of thindlu, tennis village, dhanalakshmi layout and labour class people are facing in r/o bmtc buses.
thank you.",,02-Jul-16
New Route,,Bengaluru,YELAHANKA (towards \N),Jayadeva Hospital (towards BANASHANKARI),,for people travelling from Hebbal to BTM for office,,03-Jul-16
Increase Frequency,G-2,Bengaluru,,,,Sunday Morning,,03-Jul-16
New Route,,Bengaluru,Deepanjalinagara Depot-16 (towards MYSORE ROAD),Kengeri Satelite Town (towards null),,We need bus connectivity from Mysore Road Metro station to Satellite Bus station,,03-Jul-16
New Route,,Bengaluru,HSR BDA COMPLEX (towards null),Majestic (towards Malleshwaram),,"Getting a direct bus from HSR Layout to Majestic is a jackpot
",,04-Jul-16
New Route,,Bengaluru,New Horizon College (towards MARATHAHALLI),Channasandra (towards RAJARAJESHWARI NAGAR),,"Dear Sir/Madam, We do not have a direct bus in this route, while there are numerous passengers travelling in this route from Cessna Tech Park, Embassy Park and Ecospace. Kindly provide necessary services.",,04-Jul-16
New Route,,Bengaluru,Heelalige Cross (towards CHANDAPURA),Kempegowda Bus Station (towards \N),,"respected sir
     there are many passenger completely depend on auto from chandapura to heelalige village if u leave a bus at morning and evening
",,04-Jul-16
New Route,,Bengaluru,St Johns Sarjapura Road (towards DAIRY CIRCLE),Sarjapura (towards TOWARDS SARJAPURA),,"There are very less buses on this route during the morning time, and most of the time buses are beyond the standing capacity which makes the commuters a problem in travelling from this route. Kindly increase the frequency of the buses atleast during the morning time to enable a easy and comfortable transport for the students, as well as the working class. thanks and regards shubham naik",,04-Jul-16
New Route,,Bengaluru,Contonment Railway Station (towards TOWARDS INDIAN EXPRESS),Mount Carmel College (towards CONTONMENT RAILWAY STATION ROAD),,"There are NO direct buses to reach Mount Carmel College from Cantonment Station. Hundreds of children are seen walking this 1km+ stretch. They have to cross the busy and dangerous traffic between Cantonment station and Vasanthanagar, putting their lives at risk and also slowing down traffic. BMTC can generate a lot of revenue by running connecting buses at least during the morning hours from 7am to 9am. I suggest round trip buses from Cantonment Station along Queens Road, Cunningham Road, Millers Road, Vasanthanagar to Mount Carmel College and return to Cantonment Station.",,05-Jul-16
New Route,,Bengaluru,"Attibele (towards 325H END,LAST STOP)",Wipro gate  (towards TOWARDS SHIKARI PALYA),,"There are no direct buses from Wipro towards attibele, Introduction of buses during peak time is useful to lot of IT commuters.",,05-Jul-16
New Route,,Bengaluru,Wipro Park Koramangala (towards KORAMANGALA 1ST BLOCK),ITPL (towards I.T.P.L.),,"Request to start direct AC / Ordinary services from Koramangala (Sony World, Wipro Park) to ITPL. The frequency of connecting buses from this place to ITPL is very low and many people commute from Koramangala (Sony World, Maharaja, Wipro Park) to ITPL. Reverse route requested during evening peak hours.",,05-Jul-16
New Route,,Bengaluru,Krishnarajendra Market (towards TOWARDS CORPORATION),JP Nagara 3rd Phase (towards TOWARDS BRIGADE ROAD JUNCTION),,We need more busses to ply to and from this route.,,05-Jul-16
New Route,,Bengaluru,kengeri bus station,electronic city,,Via nice road,,06-Jul-16
New Route,,Bengaluru,KENGERI,Jayanagara 9th East Circle (towards BANASHANKARI),,"IT WILL BE HELPFUL FOR DAILY COMMUTERS BY TRAIN IF ADDITIONAL BUS SERVICES ARE INTRODUCED BETWEEN 10 PM TO 5 AM FROM KENGERI , SATELLITE BUSSTATION TO JAYANAGAR",,06-Jul-16
Increase Frequency,G-2,Bengaluru,,,,Very less buses in morning and evening time. Sometimes we wait for 30 minutes to 1 hour.,,08-Jul-16
New Route,,Bengaluru,Kempegowda Bus Station (towards \N),Kalkere (towards BANASWADI RING ROAD),,"Via Hormavu, Banswadi ring road, Kasturinagar, NGEF, Ulsoor, COrporation",,06-Jul-16
New Route,,Bengaluru,Mother Dairy Cross (towards Yelahanka 5th Phase),Peenya 2nd stage (towards JALAHALLI CROSS),,"At least office timing like morning 8AM to 10AM O Clock

Evening from peenya 5PM to 7 PM 

Before there was a person traveling through this route Bus number 401W, But all the people daily up and down from here to peenya so all have taken the passes , bMTC taken the decision that passengers not available to travel in this route so that bus was removed . But now so many peoples are running to catch the 2 to 3 buses every day .please keep a note we all buy passes that is also revinew for BMTC kindly accept the request and please provide the direct bus from Yelahanka 4th phase to Peenya Immediately",,05-Jul-16
New Route,,Bengaluru,Devarachikkanahalli (towards FROM BELEKAHALLI),Yeshwanthpura TTMC (towards TOWARDS JALAHALLI CROSS),,"We dont have any direct bus to Yeshwanthpura. We request you to make a bus route which goes via Jayanagar 4th block,Basavangudi,Chamrajpet,Vijayanagar and Rajajinagar towards Yeshwanthpura.We kindly request you to make this new route as soon as possible.  ",,05-Jul-16
New Route,,Bengaluru,HSR Club (towards HSR BDA Complex),Kodihalli Domlur (towards TOWARDS DOMLURU),,Need bus in HSR to Kodihally HAL route,,05-Jul-16
Other,,Bengaluru,,,,"Please run mini buses ( 15 standing , 5 sitting ) buses from all metro stations to nearby 3 km roads ( say 10 stops ) . Frequency to be every 10 minutes. This will be useful for users of metro train.",,05-Jul-16
New Route,,Bengaluru,HSR Club (towards HSR BDA Complex),HAL Main Gate (towards TOWARDS MARATHAHALLI),,We need direct bus service from HSR Club to HAL Main Gate. Many people do Daily passenger in this route. Only KIAS-7A have which go still Domlure flayover & frequency of this bus is very less. At least office timing like morning 8AM to 10AM O Clock Evening from HAL Main Gate 5PM to 7 PM. BMTC kindly accept the request and please provide the direct bus from HSR Club to HAL Main Gate Immediately.,,05-Jul-16
Increase Frequency,287T,Bengaluru,,,,We need more buses to herbal  dasarahalli we have to wait for hours to get bus to herbal dasarahalli we need more buses at least one in 15 minutes please,,06-Jul-16
New Route,,Bengaluru,Arekere Gate (towards Arekere Mico Layout),ITPL (towards HOPE FARM),,There is a great need for the Direct Bus Service from Arekere to ITPL in rhe morning and evening times. Presently we need to catch some bus to Jayadeva and Walk to East End  for Catching 500CA coming from Banashankari. Please look into this and add few services in the time of 6.30 AM to  10.00 AM(Morning) and 3.30 PM to 8.00 PM(Evening),,06-Jul-16
Increase Frequency,G-3,Bengaluru,,,,Its very crowded during peak hours,,29-Jul-16
Increase Frequency,60B,Bengaluru,,,,"Dear sir/madam

Though the buses from vijaynagar ttmc to jaynagar are available for every 20 mins.the buses are very rush and the people are hanging from the stairs. Sometimes we look for next bus but unfortunately even the upcoming buses are very rush especially from morning 8:00 and evening till 5:30.due nonavailability of buses we were absent to the institutions many times .its ok if we don't sit but we need a place to atleast to stand and breathe.even pickpockets in these buses are very often since i go through many incidents in the bus route 60 and k-3.so I plz kindly request you to allow more buses in the morning and evening bcz its the time were students and workers get into the buses .

Thanking you",,06-Jul-16
Other,,Bengaluru,,,,"500??? ?????????? ???? ????? ???? ???????????. ?????? ??? ??????? ????? ???????????.
Re-operate route no.500R Nerige to Hebbala.",,06-Jul-16
New Route,,Bengaluru,Sahakara Nagar Ganesh Temple (towards KODIGEHALLI GATE),Yeshwanthpura Market (towards MATHIKERE),,Not a single bus is there from sahakaranagar or kodigehalli towards Yeswanthpur railway station and towards vijayanagar Via chard road. we have to go KBS and again catch bus. Pls put frequent buses in this routes at least in the early morning till 11am and eveving from 5pm till 10 pm.,,07-Jul-16
New Route,,Bengaluru,Kadirenahalli Village (towards UTHARAHALLI),ITPL (towards I.T.P.L.),,Buses from Utharahalli to ITPL via Banashankari every 15 or 30 min starting 7 am till 10 am,,08-Jul-16
New Route,,Bengaluru,Subramanyapura Police station (towards UTHARAHALLI),Majestic (towards Super Talkies),,"No Volvo Buses from Utharahalli to Majestic at all , kindly provide them",,08-Jul-16
New Route,,Bengaluru,Upkar Residency Layout (towards Upkar Residency Last Stop),Corporation (towards TOWARDS MUSEUM),,At present there are no buses from this point towards mysore road. Pls. provide a route towards Corporation via Sirsi circle flyover.,,08-Jul-16
Increase Frequency,MF-1,Bengaluru,,,,Pls. increase the frequency of Metro feeder -1 (C4A) and C4 plys Vijayanagar - Vijayanagar.  This is very useful for the commuters especially for the metro travelers.,,08-Jul-16
New Route,,Bengaluru,Baiyappanahalli Satellite Bus Station (towards Last Stop),Kalkere (towards BANASWADI RING ROAD),,Please add new route which will be useful for metro users,,09-Jul-16
Increase Frequency,168E,Bengaluru,,,,"increase k3 from jayanagar to koramangala or introduce new mini bus from koramangala-jayanagar-koramangala via forum mall, dairy circle, sagar hospital, carmel convent, 4th block.
And also provide feeder bus from mg road metro station & jayanagar(rv road) metro station to dairy,tavarekere,sg palya,kormanagala areas it will be helpful as they are the nearest metro stations to above mentioned areas",,10-Jul-16
Increase Frequency,D-6,Bengaluru,,,,very less normal buses on this route from Silk board to ITPL at the peak time. AC buses are very costly and not affordable. So please increase the normal buses in this route and the peak time,,10-Jul-16
Increase Frequency,287T,Bengaluru,,,,Buses to hebbal dasarahalli are very rare. We have to wait for hours without buses . Please increase the frequency of buses to hebbal dasarahalli . There are so many 287 buses that stop just at hebbal. Please divert these buses to hebbal dasarahalli as this will be helpful . ,,11-Jul-16
New Route,,Bengaluru,Hosa Road (towards \N),White Field (towards TOWARDS KADUGODI),,"Dear Sir/Madam,

Greetings !!

Myself Gaurang Pandya, resident of KPCL Layout, Kasavanahalli, Off Sarjapur Road, Bangalore.

On behalf of residents of Kasavanahalli, I will like to request to you to start new buses to connect Kasavanahalli to Majestic, Airport & major IT workplaces like Whitefield, Bellandur, Hebbal, JP Nagar, etc.
This will result in drastic reduction in traffic, pollution & travel time.
In short, residents of areas near to Central Jail road are in deep distress due to lack of direct connectivity to major landmarks. Please address this issue urgently. 

Thank you very much. ",,11-Jul-16
New Route,,Bengaluru,Doddaballapura (towards YELAHANKA),Central Silk Board (towards BANASHANKARI),,"Request for a bus service from Doddaballapura - Rajanakunte - Yelahanka NES - Hebbal - Tin factory - Marathalli - Bellandur - Silk Board. Its very difficult fro people staying towards DOddaballapura to travel to Bellandur, EC, ITPL, Silk board. The preferred timing would be 6:30 am from Doddaballapura. Also a return service from Silk board required in the evening preferred time would be 3:30 pm from silk board.
These services will help many people who stary towards Doddaballapura road & travel daily to Bellandur, ITPL, EC.

Thanks.",,11-Jul-16
New Route,,Bengaluru,Kaikodrahalli (towards TOWARDS KORAMANGALA),Maratahalli (towards TOWARDS VARTHURU KODI),,"Sir / Madam, there is no bus facility from Sarjapur Road to Marathahalli. We have to change two buses.",,11-Jul-16
Increase Frequency,347,Bengaluru,,,,"Dear Sir/Madam,

347 HD bus take 2 round from Devendranagar via Chikkathogur/Pragathinagar  to KBS  

Devendra nagar to KBS  07:45, 10:50  and KBS to Devendranagar  09:05 15:45 respectively.

We the Resident of Devendranagar, Chickkatogur, Pragathinagar, Manjunatha layout.   Request/Pray

1) Please Increase the Frequency and / or atlease 
2) Please do Introduces New Route Chickkathogur to K R Market ",,11-Jul-16
New Route,,Bengaluru,Kaikodrahalli (towards TOWARDS KORAMANGALA),BTM water Tank (towards BANASHANKARI),,"Sir / Madam, there is no direct bus service from Sarjapur Road to BTM which is causing hardship to many people residing in and around Sarjapur Road.",,11-Jul-16
New Route,,Bengaluru,8th Mile (towards Towards Nelagadaranahalli),Yelahanka Satelite Town (towards TOWARDS YELAHANKA TOWN),,"Hi There,

If you introduce the bus Via Bagalgunte, Chcikbanavar, abbigere, Lakshmipura, Sambram college, very helpful for office goers and college students and alternate to other routes.",,04-Jul-16
New Route,,Bengaluru,Dasarahalli (towards JAKKURU),Malleshwaram Circle (towards YESHAWANTHAPURA),,please add a bus from dasarahalli hebbal to malleshwaram circle(176 route) . many people board 176 buses to get to mekhri circle to go to hebbal area . so please start a route from dasarahalli to malleshwaram(yeshwanthpur) at around 6:00 am as there are no buses from dasarahalli in between 5:20 and 6:55 pm . this is very problematic to students with early college timings.,,11-Jul-16
New Route,,Bengaluru,Aluru (towards TUMKUR ROAD),Peenya 2nd stage (towards JALAHALLI CROSS),,"I have Noticed that most of our people from Heggadadhevanapura, Aluru and Makali region working  at all the 4 Phases of Peenya Industrial area.
Now they have to first go to jalahalli Cross and then towards Peenya indl. area. 
hence we need Direct Route from here (Aluru) to Peenya 2nd Stage and also between 8:00 AM to 10:00 AM.

Now the Number of Buses in this Route is also Less
we need more Buses.

We hope our Expectations will came to Reality
within few months (2016)",,02-Jul-16
New Route,,Bengaluru,Laggere Cross (towards LAGGERE CIRCLE),Uttarahalli (towards VASANTHAPURA),,"This route covers areas such as Nagarbhavi, Banashankari 3 stage, padmanabha nagar, helpful for students and office goers, to some extent traffic jam can be avoided",,11-Jul-16
New Route,,Bengaluru,8th Mile (towards Towards Nelagadaranahalli),Yelahanka Satelite Town (towards TOWARDS YELAHANKA TOWN),,"Please Introduce buses in this route via Bagalgunte,Banavar, Lakshmipura, Sambram college,
helpful for the people going towards Dodaballapur and an good alternate route to avoid traffic jams",,11-Jul-16
New Route,,Bengaluru,Jeevan Bhimanagara Bus stand (towards START STOP),LRDE (towards C.V.RAMAN NAGARA),,"in the evening there is direct bus from bagmane tech park to jeevan bhima nagar..but the same is not there in the morning..so we can board only from beml gate which is almost 1.2 km and that too buses there in the  morning are not frequent ,we have to wait for more than 15 minutes",,12-Jul-16
New Route,,Bengaluru,Hosa Road (towards \N),Kaikodrahalli (towards TOWARDS SARJAPURA),,"Require buses from hosa road to Kaikodrahalli via amrita vidyapettam,kasavanahalli which helps the college students ",,11-Jul-16
New Route,,Bengaluru,ISRO Layout (towards KUMARA SWAMY LAYOUT),Kudlu Gate (towards TOWARDS MADIWALA),,"Please arrange more buses from  ozone manay tech ,service road hongasandra house road   to. Isro layouto",,12-Jul-16
Increase Frequency,225F,Bengaluru,,,,as the area is growing and many apartments have come up in this route pls provide more buses,,12-Jul-16
New Route,,Bengaluru,Ganakkal (towards KARIYANA PALYA),Majestic (towards Super Talkies),,there are no buses to majestic from there is 225f which is from ganakal to k r market it would be nice if u add buses to majestic and yeshwanthpur,,12-Jul-16
New Route,,Bengaluru,Ganakkal (towards KARIYANA PALYA),Yeshwanthpura TTMC (towards TOWARDS JALAHALLI CROSS),,pls add is route it will be very helpful,,12-Jul-16
New Route,,Bengaluru,St Marys School (towards Nobel Residency Layout),Madiwala Police Station (towards TOWARDS BRIGADE JUNCTION),,"Need more buses on this route as St Mary's school is a transfer point. The route can be modified a bit, by routing it via Yelenahalli- Begur temple - Begur Lake - Chikka Begur - Manipal County road - Singasandra - Bommanahalli - Silk Board",,12-Jul-16
New Route,,Bengaluru,Kudlu Gate (towards TOWARDS MADIWALA),ISRO Layout (towards VASANTHAPURA),,Please provide new buses ,,12-Jul-16
Other,,Bengaluru,,,,225D route extension: please extend the 225D route from BHEL Concord layout to Global village back gate via krishna Garden,,24-Jul-16
New Route,,Bengaluru,Hosa Road (towards \N),White Field (towards TOWARDS KADUGODI),,"Dear Sir/Madam,

Greetings !!

Myself Gaurang Pandya, resident of KPCL Layout, Kasavanahalli, Off Sarjapur Road, Bangalore.

On behalf of residents of Kasavanahalli, I will like to request to you to start new buses to connect Kasavanahalli to Majestic, Airport & major IT workplaces like Whitefield, Bellandur, Hebbal, JP Nagar, etc.
This will result in drastic reduction in traffic, pollution & travel time.
In short, residents of areas near to Central Jail road are in deep distress due to lack of direct connectivity to major landmarks. Please address this issue urgently. 

Thank you very much. ",,11-Jul-16
Other,,Bengaluru,,,,Please release the windows based Realtime bus application. it is help us.,,13-Jul-16
New Route,,Bengaluru,Kaggadasapura (towards C.V.RAMAN NAGARA),Tin Factory (towards K.R. PURAM RAILWAY STATION),,"Can we have mini bus running in this route? If we have to take a bus to hebbal or marthahalli or hoskote, currently there is no easy way. We have to walk more than 3 kms for the nearest bus. Mini bus would be preferred here as the route is narrow.",,13-Jul-16
New Route,,Bengaluru,Jn of Hosur Road (towards DAIRY CIRCLE),Uttarahalli (towards KENGERI),,"new bus required via christ college,dairy circle, sagar hospital jn, carmel convent, jaynagar 4th blk, banshankri,chikalsandra,uttarahalli",,19-Jul-16
Other,,Bengaluru,,,,"Increase frequency of metro feeders from Nagarabhavi BDA complex to Mysore road

Also request to start from 6.00 a.m.",,13-Jul-16
New Route,,Bengaluru,HAL Main gate (towards \N),NGEF Ground (towards N.G.E.F.),,past one week metro feeder buses are not running in this route.so please arrange buses from Hal main gate to NGEF.,,13-Jul-16
New Route,,Bengaluru,Meenakshi Temple (towards TOWARDS BRIGADE ROAD JUNCTION),Ragigudda (towards BANASHANKARI),,I do request you to start direct buses from meenakshi temple bannergatta road to ragigudda(jayanagar 9th block),,13-Jul-16
Other,,Bengaluru,,,,Volvo Service from C V Raman Nagar towards Richmond Circle,,13-Jul-16
New Route,,Bengaluru,Meenakshi Temple (towards TOWARDS BRIGADE ROAD JUNCTION),Yelenahalli (towards Last stop),,The auto people charge too much of money from Meenakshi to SNN Raj serenity. Pls provide bus in this route.,,13-Jul-16
Increase Frequency,369G,Bengaluru,,,,Please increase the frequency to 5 min as the bus is overcrouded with current frequency,,13-Jul-16
New Route,,Bengaluru,Kothnuru Dinne (towards JAMBU SAVARI DINNE),Electronic City Wipro Gate (towards TOWARDS ELC WIPRO),,"The proposed route is via meenakshi temple , doddakammanahalli , snn raj serenity ,via begur koppa road",,13-Jul-16
